Corporate body type,Year,Value,Value-obsStatus
Assurance Company,2003-2004,0.04,
Charitable Incorporated Organisation7,2003-2004,0.0,
European Economic Interest Grouping (EEIG)11,2003-2004,0.01,
European Public Limited-Liability Company (SE)11,2003-2004,0.0,
Further Education and Sixth Form College Corps,2003-2004,0.0,
Investment Company with Variable Capital,2003-2004,0.0,
Investment Company with Variable Capital (Securities),2003-2004,0.0,
Investment Company with Variable Capital (Umbrella),2003-2004,0.0,
Limited Liability Partnership,2003-2004,0.35,
Limited Partnership8,2003-2004,0.54,
Northern Ireland Company,2003-2004,0.0,
Old Public Company,2003-2004,0.0,
Other Company Type,2003-2004,0.0,
Other Type of Company (in Northern Ireland),2003-2004,0.0,
Overseas Company,2003-2004,0.37,
*Private Limited,2003-2004,94.16,
*Private Limited by Guarantee/No Share Capital,2003-2004,2.18,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2003-2004,1.06,
*Private Limited by Shares (Section 30 Exemption),2003-2004,0.0,
*Private Unlimited,2003-2004,0.35,
*Private Unlimited/No Share Capital,2003-2004,0.01,
*Public Limited Company,2003-2004,0.44,
Protected Cell Company,2003-2004,0.0,
Registered Society9,2003-2004,0.42,
Royal Charter Company,2003-2004,0.04,
Scottish Charitable Incorporated Organisation,2003-2004,0.0,
Scottish Partnership10,2003-2004,0.0,
United Kingdom Economic Interest Grouping11,2003-2004,0.0,
United Kingdom Societas11,2003-2004,0.0,
Unregistered Company,2003-2004,0.0,
Total,2003-2004,100.0,
Assurance Company,2004-2005,0.04,
Charitable Incorporated Organisation7,2004-2005,0.0,
European Economic Interest Grouping (EEIG)11,2004-2005,0.01,
European Public Limited-Liability Company (SE)11,2004-2005,0.0,
Further Education and Sixth Form College Corps,2004-2005,0.0,
Investment Company with Variable Capital,2004-2005,0.01,
Investment Company with Variable Capital (Securities),2004-2005,0.0,
Investment Company with Variable Capital (Umbrella),2004-2005,0.0,
Limited Liability Partnership,2004-2005,0.53,
Limited Partnership8,2004-2005,0.55,
Northern Ireland Company,2004-2005,0.0,
Old Public Company,2004-2005,0.0,
Other Company Type,2004-2005,0.0,
Other Type of Company (in Northern Ireland),2004-2005,0.0,
Overseas Company,2004-2005,0.35,
*Private Limited,2004-2005,93.99,
*Private Limited by Guarantee/No Share Capital,2004-2005,2.22,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2004-2005,1.09,
*Private Limited by Shares (Section 30 Exemption),2004-2005,0.0,
*Private Unlimited,2004-2005,0.34,
*Private Unlimited/No Share Capital,2004-2005,0.01,
*Public Limited Company,2004-2005,0.42,
Protected Cell Company,2004-2005,0.0,
Registered Society9,2004-2005,0.39,
Royal Charter Company,2004-2005,0.04,
Scottish Charitable Incorporated Organisation,2004-2005,0.0,
Scottish Partnership10,2004-2005,0.0,
United Kingdom Economic Interest Grouping11,2004-2005,0.0,
United Kingdom Societas11,2004-2005,0.0,
Unregistered Company,2004-2005,0.0,
Total,2004-2005,100.0,
Assurance Company,2005-2006,0.04,
Charitable Incorporated Organisation7,2005-2006,0.0,
