Corporate body type,Year,Value,Value-obsStatus
assurance-company,2003-2004,0.04,
charitable-incorporated-organisation7,2003-2004,0.0,
european-economic-interest-grouping-eeig-11,2003-2004,0.01,
european-public-limited-liability-company-se-11,2003-2004,0.0,
further-education-and-sixth-form-college-corps,2003-2004,0.0,
investment-company-with-variable-capital,2003-2004,0.0,
investment-company-with-variable-capital-securities,2003-2004,0.0,
investment-company-with-variable-capital-umbrella,2003-2004,0.0,
limited-liability-partnership,2003-2004,0.35,
limited-partnership8,2003-2004,0.54,
northern-ireland-company,2003-2004,0.0,
old-public-company,2003-2004,0.0,
other-company-type,2003-2004,0.0,
other-type-of-company-in-northern-ireland,2003-2004,0.0,
overseas-company,2003-2004,0.37,
-private-limited,2003-2004,94.16,
-private-limited-by-guarantee/no-share-capital,2003-2004,2.18,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2003-2004,1.06,
-private-limited-by-shares-section-30-exemption,2003-2004,0.0,
-private-unlimited,2003-2004,0.35,
-private-unlimited/no-share-capital,2003-2004,0.01,
-public-limited-company,2003-2004,0.44,
protected-cell-company,2003-2004,0.0,
registered-society9,2003-2004,0.42,
royal-charter-company,2003-2004,0.04,
scottish-charitable-incorporated-organisation,2003-2004,0.0,
scottish-partnership10,2003-2004,0.0,
united-kingdom-economic-interest-grouping11,2003-2004,0.0,
united-kingdom-societas11,2003-2004,0.0,
unregistered-company,2003-2004,0.0,
total,2003-2004,100.0,
assurance-company,2004-2005,0.04,
charitable-incorporated-organisation7,2004-2005,0.0,
european-economic-interest-grouping-eeig-11,2004-2005,0.01,
european-public-limited-liability-company-se-11,2004-2005,0.0,
further-education-and-sixth-form-college-corps,2004-2005,0.0,
investment-company-with-variable-capital,2004-2005,0.01,
investment-company-with-variable-capital-securities,2004-2005,0.0,
investment-company-with-variable-capital-umbrella,2004-2005,0.0,
limited-liability-partnership,2004-2005,0.53,
limited-partnership8,2004-2005,0.55,
northern-ireland-company,2004-2005,0.0,
old-public-company,2004-2005,0.0,
other-company-type,2004-2005,0.0,
other-type-of-company-in-northern-ireland,2004-2005,0.0,
overseas-company,2004-2005,0.35,
-private-limited,2004-2005,93.99,
-private-limited-by-guarantee/no-share-capital,2004-2005,2.22,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2004-2005,1.09,
-private-limited-by-shares-section-30-exemption,2004-2005,0.0,
-private-unlimited,2004-2005,0.34,
-private-unlimited/no-share-capital,2004-2005,0.01,
-public-limited-company,2004-2005,0.42,
protected-cell-company,2004-2005,0.0,
registered-society9,2004-2005,0.39,
royal-charter-company,2004-2005,0.04,
scottish-charitable-incorporated-organisation,2004-2005,0.0,
scottish-partnership10,2004-2005,0.0,
united-kingdom-economic-interest-grouping11,2004-2005,0.0,
united-kingdom-societas11,2004-2005,0.0,
unregistered-company,2004-2005,0.0,
total,2004-2005,100.0,
assurance-company,2005-2006,0.04,
charitable-incorporated-organisation7,2005-2006,0.0,
european-economic-interest-grouping-eeig-11,2005-2006,0.01,
european-public-limited-liability-company-se-11,2005-2006,0.0,
